StudentID,Age,Gender,StudyHoursPerDay,AttendanceRate,PreviousGrade,ParentalEducation,InternetAccess,ExtracurricularActivities,SleepHours,FinalGrade,Pass
1,18,Male,5,92,78,Graduate,Yes,Yes,7,82,1
2,19,Female,3,75,65,Undergraduate,Yes,No,6,68,1
3,20,Male,1,60,45,HighSchool,No,No,5,41,0
4,18,Female,6,95,88,Graduate,Yes,Yes,8,91,1
5,21,Male,2,70,55,HighSchool,Yes,No,6,52,0
6,19,Female,4,85,72,Graduate,Yes,Yes,7,76,1
7,20,Male,7,98,92,Graduate,Yes,Yes,8,95,1
8,22,Female,1,55,40,HighSchool,No,No,5,38,0
9,18,Male,5,88,80,Undergraduate,Yes,Yes,7,83,1
10,19,Female,3,78,62,Graduate,Yes,No,6,65,1
11,21,Male,2,65,50,HighSchool,No,No,5,47,0
12,20,Female,6,90,85,Graduate,Yes,Yes,8,88,1
13,18,Male,4,82,70,Undergraduate,Yes,No,7,74,1
14,22,Female,1,58,42,HighSchool,No,No,5,39,0
15,19,Male,5,87,77,Graduate,Yes,Yes,7,80,1
16,20,Female,3,72,60,Undergraduate,Yes,No,6,63,1
17,21,Male,7,96,90,Graduate,Yes,Yes,8,93,1
18,18,Female,2,68,52,HighSchool,No,No,6,48,0
19,19,Male,4,83,74,Graduate,Yes,Yes,7,78,1
20,20,Female,6,91,86,Graduate,Yes,Yes,8,89,1
21,22,Male,1,57,43,HighSchool,No,No,5,40,0
22,18,Female,5,89,79,Undergraduate,Yes,Yes,7,82,1
23,21,Male,3,74,63,Graduate,Yes,No,6,66,1
24,19,Female,7,97,91,Graduate,Yes,Yes,8,94,1
25,20,Male,2,66,51,HighSchool,No,No,5,46,0
26,18,Female,4,84,73,Graduate,Yes,Yes,7,77,1
27,22,Male,6,92,87,Graduate,Yes,Yes,8,90,1
28,19,Female,1,56,41,HighSchool,No,No,5,37,0
29,20,Male,5,86,76,Undergraduate,Yes,No,7,79,1
30,21,Female,3,76,64,Graduate,Yes,Yes,6,67,1
31,18,Male,7,99,93,Graduate,Yes,Yes,9,96,1
32,19,Female,2,67,53,HighSchool,No,No,5,49,0
33,20,Male,4,81,71,Undergraduate,Yes,No,7,73,1
34,22,Female,6,93,88,Graduate,Yes,Yes,8,91,1
35,18,Male,1,54,39,HighSchool,No,No,5,36,0
36,19,Female,5,88,78,Graduate,Yes,Yes,7,81,1
37,21,Male,3,73,61,Undergraduate,Yes,No,6,64,1
38,20,Female,7,97,92,Graduate,Yes,Yes,8,95,1
39,18,Male,2,69,54,HighSchool,No,No,6,50,0
40,22,Female,4,85,75,Graduate,Yes,Yes,7,78,1
41,19,Male,6,91,86,Graduate,Yes,Yes,8,89,1
42,20,Female,1,59,44,HighSchool,No,No,5,41,0
43,21,Male,5,87,79,Undergraduate,Yes,Yes,7,82,1
44,18,Female,3,77,65,Graduate,Yes,No,6,68,1
45,19,Male,7,96,91,Graduate,Yes,Yes,8,94,1
46,20,Female,2,67,52,HighSchool,No,No,5,47,0
47,22,Male,4,83,73,Graduate,Yes,Yes,7,76,1
48,18,Female,6,92,87,Graduate,Yes,Yes,8,90,1
49,19,Male,1,57,42,HighSchool,No,No,5,39,0
50,21,Female,5,89,80,Undergraduate,Yes,Yes,7,83,1
51,20,Male,3,75,63,Graduate,Yes,No,6,66,1
52,18,Female,7,98,93,Graduate,Yes,Yes,9,96,1
53,22,Male,2,66,51,HighSchool,No,No,5,46,0
54,19,Female,4,84,74,Graduate,Yes,Yes,7,77,1
55,20,Male,6,93,88,Graduate,Yes,Yes,8,91,1
56,21,Female,1,55,40,HighSchool,No,No,5,37,0
57,18,Male,5,87,77,Undergraduate,Yes,No,7,80,1
58,19,Female,3,76,64,Graduate,Yes,Yes,6,67,1
59,20,Male,7,97,92,Graduate,Yes,Yes,8,95,1
60,22,Female,2,68,53,HighSchool,No,No,6,49,0
61,18,Male,4,82,72,Graduate,Yes,Yes,7,75,1
62,19,Female,6,91,86,Graduate,Yes,Yes,8,89,1
63,21,Male,1,58,43,HighSchool,No,No,5,40,0
64,20,Female,5,88,79,Undergraduate,Yes,Yes,7,82,1
65,18,Male,3,74,62,Graduate,Yes,No,6,65,1
66,22,Female,7,99,94,Graduate,Yes,Yes,9,97,1
67,19,Male,2,67,52,HighSchool,No,No,5,47,0
68,20,Female,4,83,73,Graduate,Yes,Yes,7,76,1
69,21,Male,6,92,87,Graduate,Yes,Yes,8,90,1
70,18,Female,1,56,41,HighSchool,No,No,5,38,0
71,19,Male,5,88,78,Undergraduate,Yes,No,7,81,1
72,20,Female,3,75,63,Graduate,Yes,Yes,6,66,1
73,22,Male,7,96,91,Graduate,Yes,Yes,8,94,1
74,18,Female,2,69,54,HighSchool,No,No,6,50,0
75,21,Male,4,84,74,Graduate,Yes,Yes,7,78,1
76,19,Female,6,91,86,Graduate,Yes,Yes,8,89,1
77,20,Male,1,57,42,HighSchool,No,No,5,39,0
78,18,Female,5,87,78,Graduate,Yes,Yes,7,81,1
79,22,Male,3,74,62,Undergraduate,Yes,No,6,65,1
80,19,Female,7,98,93,Graduate,Yes,Yes,9,96,1
81,20,Male,2,66,51,HighSchool,No,No,5,46,0
82,21,Female,4,83,73,Graduate,Yes,Yes,7,76,1
83,18,Male,6,92,87,Graduate,Yes,Yes,8,90,1
84,19,Female,1,55,40,HighSchool,No,No,5,37,0
85,20,Male,5,88,79,Undergraduate,Yes,Yes,7,82,1
86,22,Female,3,76,64,Graduate,Yes,No,6,67,1
87,18,Male,7,97,92,Graduate,Yes,Yes,8,95,1
88,19,Female,2,68,53,HighSchool,No,No,6,49,0
89,21,Male,4,84,74,Graduate,Yes,Yes,7,77,1
90,20,Female,6,92,87,Graduate,Yes,Yes,8,90,1
91,18,Male,1,57,42,HighSchool,No,No,5,39,0
92,22,Female,5,87,78,Undergraduate,Yes,No,7,81,1
93,19,Male,3,75,63,Graduate,Yes,Yes,6,66,1
94,20,Female,7,98,93,Graduate,Yes,Yes,9,96,1
95,21,Male,2,67,52,HighSchool,No,No,5,47,0
96,18,Female,4,83,73,Graduate,Yes,Yes,7,76,1
97,19,Male,6,91,86,Graduate,Yes,Yes,8,89,1
98,20,Female,1,56,41,HighSchool,No,No,5,38,0
99,22,Male,5,88,79,Undergraduate,Yes,Yes,7,82,1
100,18,Female,3,76,65,Graduate,Yes,No,6,68,1
